Modelo,Capacidad,Precio USD
iPhone 13,128 GB,180
iPhone 13,256 GB,210
iPhone 13,512 GB,240
iPhone 13 mini,128 GB,130
iPhone 13 mini,256 GB,150
iPhone 13 mini,512 GB,180
iPhone 13 Pro,128 GB,200
iPhone 13 Pro,256 GB,220
iPhone 13 Pro,512 GB,270
iPhone 13 Pro,1 TB,320
iPhone 13 Pro Max,128 GB,250
iPhone 13 Pro Max,256 GB,300
iPhone 13 Pro Max,512 GB,350
iPhone 13 Pro Max,1 TB,400
iPhone 14,128 GB,220
iPhone 14,256 GB,250
iPhone 14,512 GB,290
iPhone 14 Plus,128 GB,250
iPhone 14 Plus,256 GB,300
iPhone 14 Plus,512 GB,350
iPhone 14 Pro,128 GB,270
iPhone 14 Pro,256 GB,300
iPhone 14 Pro,512 GB,350
iPhone 14 Pro,1 TB,400
iPhone 14 Pro Max,128 GB,300
iPhone 14 Pro Max,256 GB,350
iPhone 14 Pro Max,512 GB,400
iPhone 14 Pro Max,1 TB,450
iPhone 15,128 GB,300
iPhone 15,256 GB,350
iPhone 15,512 GB,400
iPhone 15 Plus,128 GB,330
iPhone 15 Plus,256 GB,390
iPhone 15 Plus,512 GB,430
iPhone 15 Pro,128 GB,450
iPhone 15 Pro,256 GB,500
iPhone 15 Pro,512 GB,530
iPhone 15 Pro,1 TB,600
iPhone 15 Pro Max,256 GB,550
iPhone 15 Pro Max,512 GB,600
iPhone 15 Pro Max,1 TB,650
iPhone 16e,128 GB,300
iPhone 16e,256 GB,350
iPhone 16,128 GB,400
iPhone 16,256 GB,450
iPhone 16,512 GB,500
iPhone 16 Plus,128 GB,450
iPhone 16 Plus,256 GB,500
iPhone 16 Plus,512 GB,550
iPhone 16 Pro,128 GB,600
iPhone 16 Pro,256 GB,650
iPhone 16 Pro,512 GB,700
iPhone 16 Pro,1 TB,830
iPhone 16 Pro Max,256 GB,750
iPhone 16 Pro Max,512 GB,800
iPhone 16 Pro Max,1 TB,850
